"state","num_colonies","max_colonies","lost_colonies","percent_lost_colonies","added_colonies","renovated_colonies","percent_renovated_colonies","time_period","year"
"Alabama",7000,"7000",1800,26,"2800","250","4","Jan-Mar",2015
"Arizona",35000,"35000",4600,13,"3400","2100","6","Jan-Mar",2015
"Arkansas",13000,"14000",1500,11,"1200","90","1","Jan-Mar",2015
"California",1440000,"1690000",255000,15,"250000","124000","7","Jan-Mar",2015
"Colorado",3500,"12500",1500,12,"200","140","1","Jan-Mar",2015
"Connecticut",3900,"3900",870,22,"290","0","0","Jan-Mar",2015
"Florida",305000,"315000",42000,13,"54000","25000","8","Jan-Mar",2015
"Georgia",104000,"105000",14500,14,"47000","9500","9","Jan-Mar",2015
"Hawaii",10500,"10500",380,4,"3400","760","7","Jan-Mar",2015
"Idaho",81000,"88000",3700,4,"2600","8000","9","Jan-Mar",2015
"Illinois",6000,"10500",4200,40,"2300","390","4","Jan-Mar",2015
"Indiana",9000,"9500",2100,22,"490","120","1","Jan-Mar",2015
"Iowa",12500,"17500",3100,18,"1700","270","2","Jan-Mar",2015
"Kansas",4600,"7000",1600,23,"450","70","1","Jan-Mar",2015
"Kentucky",7500,"10500",4100,39,"250","0","0","Jan-Mar",2015
"Louisiana",51000,"51000",8000,16,"3100","6500","13","Jan-Mar",2015
"Maine",3100,"6500",380,6,"20","0","0","Jan-Mar",2015
"Maryland",7500,"10000",4100,41,"1600","870","9","Jan-Mar",2015
"Massachusetts",2900,"4600",1000,22,"260","120","3","Jan-Mar",2015
"Michigan",16500,"60000",11500,19,"7500","2400","4","Jan-Mar",2015
"Minnesota",28000,"74000",3700,5,"690","530","1","Jan-Mar",2015
"Mississippi",34000,"76000",8500,11,"22000","7500","10","Jan-Mar",2015
"Missouri",12000,"13000",2000,15,"220","910","7","Jan-Mar",2015
"Montana",8500,"36000",2200,6,"1400","1100","3","Jan-Mar",2015
"Nebraska",10000,"31000",2600,8,"120","310","1","Jan-Mar",2015
"New Jersey",6000,"9000",1100,12,"570","1600","18","Jan-Mar",2015
"New Mexico",7000,"7000",690,10,"190","600","9","Jan-Mar",2015
"New York",27000,"30000",6500,22,"430","950","3","Jan-Mar",2015
"North Carolina",24000,"26000",7000,27,"6000","690","3","Jan-Mar",2015
"North Dakota",57000,"120000",620,1,"1800","530","0","Jan-Mar",2015
"Ohio",18000,"22000",10500,48,"5000","3300","15","Jan-Mar",2015
"Oklahoma",9500,"26000",6000,23,"2600","260","1","Jan-Mar",2015
"Oregon",77000,"87000",6500,8,"4300","2400","3","Jan-Mar",2015
"Pennsylvania",14000,"21000",6500,31,"360","0","0","Jan-Mar",2015
"South Carolina",17000,"17500",2700,15,"2700","1400","8","Jan-Mar",2015
"South Dakota",50000,"97000",4600,5,"8500","2800","3","Jan-Mar",2015
"Tennessee",9500,"9500",2000,21,"1000","190","2","Jan-Mar",2015
"Texas",191000,"250000",26000,10,"82000","51000","20","Jan-Mar",2015
"Utah",6000,"24000",3300,14,"2500","290","1","Jan-Mar",2015
"Vermont",5500,"5500",700,13,"1200","20","0","Jan-Mar",2015
"Virginia",8000,"9000",2500,28,"800","460","5","Jan-Mar",2015
"Washington",52000,"105000",14000,13,"13500","9000","9","Jan-Mar",2015
"West Virginia",4700,"6000",1800,30,"570","60","1","Jan-Mar",2015
"Wisconsin",16500,"29000",8000,28,"3100","2500","9","Jan-Mar",2015
"Wyoming",5500,"12000",2000,17,"2000","1400","12","Jan-Mar",2015
"Other States",3410,"8990",2080,23,"870","150","2","Jan-Mar",2015
"United States",2824610,NA,500020,18,"546980","270530","10","Jan-Mar",2015
"Alabama",7500,"7500",860,12,"1900","680","9","Apr-Jun",2015
"Arizona",33000,"33000",5500,17,"19500","7000","21","Apr-Jun",2015
"Arkansas",13500,"13500",1900,14,"11500","5500","41","Apr-Jun",2015
"California",1040000,"1050000",104000,10,"170000","285000","27","Apr-Jun",2015
"Colorado",12000,"25000",1900,8,"6000","3500","14","Apr-Jun",2015
"Connecticut",3000,"3000",80,3,"1100","150","5","Apr-Jun",2015
"Florida",210000,"215000",35000,16,"44000","24000","11","Apr-Jun",2015
"Georgia",114000,"124000",23000,19,"25000","19000","15","Apr-Jun",2015
"Hawaii",13500,"13500",120,1,"1100","1200","9","Apr-Jun",2015
"Idaho",62000,"72000",6500,9,"16500","10500","15","Apr-Jun",2015
