"crop","paid_pollinated_acres","price_per_acre_USD","colonies_used","price_per_colony_USD","total_value_of_pollination_1000USD","crop_category","region","year"
"Apple",78300,28.3,35000,64.6,2261,"Tree fruit","1",2015
"Cherry",28700,30.7,19000,47.7,906,"Tree fruit","1",2015
"Other tree fruit",3300,29.7,2400,55,132,"Tree fruit","1",2015
"Watermelon",4850,51.2,3900,73,285,"Melons","1",2015
"Blueberry",44900,167,85000,94.7,8050,"Berries","1",2015
"Cranberry",30800,166,72000,70.5,5076,"Berries","1",2015
"Cucumber",28800,28.3,12000,63.6,763,"Vegetables","1",2015
"Pumpkin",11500,35.4,7500,76.7,575,"Vegetables","1",2015
"Squash",8500,27,4600,57.5,265,"Vegetables","1",2015
"Other vegetables",2050,25.4,2500,49.9,125,"Vegetables","1",2015
"All other",4150,46.8,7000,65.8,461,"Other","1",2015
"Apple",83400,33,46000,69.9,3215,"Tree fruit","1",2016
"Cherry",26600,21.9,15000,55,825,"Tree fruit","1",2016
"Peach",2150,33.9,2200,58.5,129,"Tree fruit","1",2016
"Watermelon",5600,40.4,3700,78.1,289,"Melons","1",2016
"Blueberry",37500,147,65000,88.2,5733,"Berries","1",2016
"Cranberry",30300,167,66000,77.9,5141,"Berries","1",2016
"Cucumber",29100,29.4,15000,62.7,941,"Vegetables","1",2016
"Pumpkin",11200,32.4,11000,76.8,845,"Vegetables","1",2016
"Squash",9400,32.3,7500,74.1,556,"Vegetables","1",2016
"All other",7100,31,17500,49.9,873,"Other","1",2016
"Apple",20900,15.1,7500,47.9,359,"Tree fruit","2",2015
"Watermelon",25100,66.1,23000,64.6,1486,"Melons","2",2015
"Blueberry",15800,77,31000,50.9,1578,"Berries","2",2015
"Cucumber",18300,49.6,15500,55.1,854,"Vegetables","2",2015
"Pumpkin",3100,24.9,2000,60.3,121,"Vegetables","2",2015
"Squash",6900,50.8,7000,57.5,403,"Vegetables","2",2015
"All other",5800,35.6,10000,42.8,428,"Other","2",2015
"Apple",21200,15.9,8500,48.6,413,"Tree fruit","2",2016
"Cantaloupe",2200,43,2500,56.1,140,"Melons","2",2016
"Watermelon",15300,71.6,17000,69.8,1187,"Melons","2",2016
"Blueberry",15900,81.8,33000,53.7,1772,"Berries","2",2016
"Cucumber",9300,45.7,9000,55.2,497,"Vegetables","2",2016
"Pumpkin",5200,31.6,4600,63,290,"Vegetables","2",2016
"Squash",5600,37.2,5500,47.9,263,"Vegetables","2",2016
"Other vegetables",2000,44.9,2000,85.6,171,"Vegetables","2",2016
"All other",2050,39.3,6500,59.6,387,"Other","2",2016
"Other tree fruit",5500,16.9,4800,26.7,128,"Tree fruit","3",2015
"Watermelon",29600,48.5,26000,60.4,1570,"Melons","3",2015
"Other melons",2450,71,3200,58.6,188,"Melons","3",2015
"Blueberry",4650,90,13000,48.1,625,"Berries","3",2015
"Cucumber",9900,40.7,14000,46.7,654,"Vegetables","3",2015
"Pumpkin",3000,68.3,3000,70.3,211,"Vegetables","3",2015
"Squash",2650,65.1,4300,49.5,213,"Vegetables","3",2015
"All other",4300,25.4,47000,38.7,1819,"Other","3",2015
"Other tree fruit",7000,16.5,7500,38,285,"Tree fruit","3",2016
"Orange",6700,1.3,38000,16.4,623,"Citrus","3",2016
"Cantaloupe",3650,47.1,4100,49.8,204,"Melons","3",2016
"Watermelon",28200,59.5,31000,58.7,1820,"Melons","3",2016
