"state","varroa_mites","other_pests_parasites","diseases","pesticides","other","unknown","time_period","year"
"Alabama","10","5.4","0","2.2","9.1","9.4","Jan-Mar",2015
"Arizona","26.9","20.5","0.1","0","1.8","3.1","Jan-Mar",2015
"Arkansas","17.6","11.4","1.5","3.4","1","1.0","Jan-Mar",2015
"California","24.7","7.2","3.0","7.5","6.5","2.8","Jan-Mar",2015
"Colorado","14.6","0.9","1.8","0.6","2.6","5.9","Jan-Mar",2015
"Connecticut","2.5","1.4","0","0","21.2","2.4","Jan-Mar",2015
"Florida","22.3","13.5","0.8","8.9","5.1","4.4","Jan-Mar",2015
"Georgia","6.2","4.9","3.3","2.6","4.8","10.5","Jan-Mar",2015
"Hawaii","38.8","37.7","1.6","0","2","0","Jan-Mar",2015
"Idaho","39.8","6.7","12.5","4.8","8.9","4.9","Jan-Mar",2015
"Illinois","12.3","6.9","0.7","0.4","12.6","11.6","Jan-Mar",2015
"Indiana","20.7","0.3","0.2","0.3","22.3","11.7","Jan-Mar",2015
"Iowa","26","0.7","4.6","3.4","18","3.4","Jan-Mar",2015
"Kansas","32.7","1.3","1.1","14.2","9.5","3.4","Jan-Mar",2015
"Kentucky","10.8","10.7","2.5","2.5","22.7","12.9","Jan-Mar",2015
"Louisiana","17.2","4.7","4.3","1.7","3.1","2.1","Jan-Mar",2015
"Maine","4.4","0.1","0","0","7.5","1.9","Jan-Mar",2015
"Maryland","10.1","1.8","0.4","0","24.2","12.4","Jan-Mar",2015
"Massachusetts","23.5","3.5","2.1","2.8","7.6","4.7","Jan-Mar",2015
"Michigan","14.3","3.1","1.1","1.6","8.3","4.6","Jan-Mar",2015
"Minnesota","1.4","0.1","0","0.1","1.6","2.1","Jan-Mar",2015
"Mississippi","9.4","8.2","0.1","2.1","1.2","1.1","Jan-Mar",2015
"Missouri","13.1","6.0","2.2","4.2","11.8","6.3","Jan-Mar",2015
"Montana","8.7","0.5","0.6","0.8","2.3","7.9","Jan-Mar",2015
"Nebraska","5.9","0.1","0.1","0.5","0.3","3.0","Jan-Mar",2015
"New Jersey","40.1","13.2","30.4","11.1","19.5","16.7","Jan-Mar",2015
"New Mexico","17.1","0.1","0","0.2","1.3","0.4","Jan-Mar",2015
"New York","7.6","2.6","0.5","4.4","12.4","8.3","Jan-Mar",2015
"North Carolina","35.5","2.3","0.1","22.9","6.2","12.2","Jan-Mar",2015
"North Dakota","1.7","1.7","0","0","2.5","0.1","Jan-Mar",2015
"Ohio","10.7","1.6","1.0","3.0","17.8","3.1","Jan-Mar",2015
"Oklahoma","14.5","10.1","0.5","0","2.1","2.9","Jan-Mar",2015
"Oregon","20.2","2.0","0.4","0.6","1.6","1.1","Jan-Mar",2015
